                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3347,                  4.431,                 1.4105,                0.39879,                0.27127,                0.24729,                0.20606,                0.97121,                 9.8246,                 1.1627,              8.671e-05,              8.671e-05,              8.671e-05
                      2,                  0.969,                 2.0425,                 1.1291,                0.65987,                0.45003,                0.53963,                0.43179,                0.83423,                 2.9665,                 1.0907,              0.0001795,              0.0001795,              0.0001795
                      3,                0.84654,                 1.2856,                 1.0605,                0.79091,                0.61198,                0.73155,                 0.5771,                0.82394,                 1.4458,                 1.0852,             0.00027167,             0.00027167,             0.00027167
                      4,                0.82331,                 1.0178,                 1.0236,                0.72126,                0.58114,                0.62626,                 0.4864,                0.96372,                  1.772,                 1.2574,             0.00036322,             0.00036322,             0.00036322
                      5,                 0.8299,                  0.935,                 1.0344,                0.62468,                0.65029,                0.68224,                0.54196,                 0.8847,                 1.3297,                 1.1415,             0.00045415,             0.00045415,             0.00045415
                      6,                0.82782,                 0.9137,                 1.0267,                0.63603,                0.64309,                0.70031,                0.54525,                0.85366,                 1.1601,                  1.095,             0.00054448,             0.00054448,             0.00054448
                      7,                0.79802,                0.83876,                 1.0172,                 0.6581,                 0.7127,                0.73608,                0.57435,                0.88976,                 1.1532,                  1.142,             0.00063418,             0.00063418,             0.00063418
                      8,                0.79305,                0.80031,                 1.0054,                0.73114,                0.65275,                0.73292,                0.58051,                0.85799,                  1.178,                 1.1422,             0.00065159,             0.00065159,             0.00065159
                      9,                0.77031,                0.74491,                 1.0006,                0.77728,                0.73267,                0.80888,                0.63648,                0.83704,                0.93929,                 1.1263,             0.00065159,             0.00065159,             0.00065159
                     10,                0.74123,                0.70255,                0.98581,                0.81621,                 0.7521,                0.81274,                0.64789,                0.79449,                0.92278,                 1.0985,             0.00064939,             0.00064939,             0.00064939
                     11,                0.75948,                0.69615,                0.98268,                0.80155,                0.74229,                 0.8114,                0.66381,                0.81671,                0.92348,                 1.1393,             0.00064719,             0.00064719,             0.00064719
                     12,                0.74188,                 0.6776,                 0.9804,                0.84238,                0.74389,                0.82184,                0.65493,                 0.8415,                0.94396,                 1.1545,             0.00064499,             0.00064499,             0.00064499
                     13,                0.71657,                0.64831,                0.96925,                0.78401,                0.67999,                 0.7608,                0.62117,                0.84788,                 1.0625,                 1.1328,             0.00064279,             0.00064279,             0.00064279
                     14,                0.72591,                0.64969,                0.98286,                0.75146,                0.70675,                 0.7744,                0.60924,                0.87371,                 1.0603,                 1.1391,             0.00064059,             0.00064059,             0.00064059
                     15,                0.72516,                0.63638,                0.96745,                0.73472,                0.69991,                0.76497,                0.59986,                0.91612,                 1.1732,                 1.1944,             0.00063839,             0.00063839,             0.00063839
                     16,                0.70171,                   0.62,                0.96971,                0.79472,                0.75618,                0.81046,                 0.6669,                0.79881,                0.99943,                 1.1202,             0.00063618,             0.00063618,             0.00063618
                     17,                0.70415,                 0.6004,                0.95615,                0.84409,                0.73102,                0.81036,                0.66688,                0.79453,                0.94726,                 1.1071,             0.00063398,             0.00063398,             0.00063398
                     18,                0.67361,                0.57092,                0.94941,                0.90083,                0.75596,                 0.8722,                0.69744,                0.83728,                0.78832,                 1.1185,             0.00063178,             0.00063178,             0.00063178
                     19,                0.66522,                0.55112,                0.94385,                0.84847,                0.81492,                0.86825,                0.69378,                0.78693,                0.72711,                 1.0986,             0.00062958,             0.00062958,             0.00062958
                     20,                0.66377,                0.55037,                 0.9403,                0.82252,                0.78989,                0.85136,                0.68268,                0.79023,                0.74875,                 1.1202,             0.00062738,             0.00062738,             0.00062738
                     21,                0.66646,                 0.5332,                0.93902,                0.85925,                0.76653,                0.86067,                0.71075,                0.77421,                0.78918,                 1.0886,             0.00062518,             0.00062518,             0.00062518
                     22,                0.65427,                0.52978,                0.93517,                0.83909,                0.76598,                0.84466,                0.68694,                0.80264,                0.84517,                 1.1275,             0.00062298,             0.00062298,             0.00062298
                     23,                0.65857,                0.53577,                0.94077,                0.85744,                0.73416,                 0.8453,                0.69196,                0.77996,                0.86461,                 1.1166,             0.00062078,             0.00062078,             0.00062078
                     24,                0.65565,                0.53064,                 0.9362,                0.82376,                0.73603,                0.84206,                0.70734,                0.77413,                0.87452,                 1.1068,             0.00061858,             0.00061858,             0.00061858
                     25,                0.64731,                0.51729,                0.93424,                0.78928,                0.78419,                0.83486,                 0.6904,                0.74759,                0.86989,                 1.0846,             0.00061637,             0.00061637,             0.00061637
                     26,                0.62365,                0.50435,                0.92716,                0.81616,                 0.7936,                0.85414,                0.71207,                0.75658,                0.76337,                  1.086,             0.00061417,             0.00061417,             0.00061417
                     27,                0.63484,                0.50491,                0.92476,                0.88576,                0.73904,                0.86062,                0.70459,                0.78359,                0.78425,                 1.0899,             0.00061197,             0.00061197,             0.00061197
                     28,                0.64959,                0.51933,                0.93066,                0.80701,                0.83659,                 0.8735,                0.71577,                0.77575,                0.77693,                 1.1137,             0.00060977,             0.00060977,             0.00060977
                     29,                0.64227,                0.50491,                0.92592,                0.86307,                0.80766,                0.88177,                0.72543,                 0.7632,                0.75812,                 1.1126,             0.00060757,             0.00060757,             0.00060757
                     30,                0.62437,                0.48666,                0.92233,                0.87995,                0.77759,                0.86184,                 0.7234,                0.72593,                0.78926,                 1.0831,             0.00060537,             0.00060537,             0.00060537
                     31,                0.61273,                0.46287,                0.91271,                0.87765,                0.80416,                0.88108,                 0.7439,                0.74334,                0.76943,                 1.0777,             0.00060317,             0.00060317,             0.00060317
                     32,                0.61112,                0.47189,                0.92224,                0.92308,                0.78667,                0.88966,                0.73513,                0.73599,                0.71839,                 1.0859,             0.00060097,             0.00060097,             0.00060097
                     33,                0.60776,                0.46554,                0.91233,                0.86763,                0.83074,                 0.8876,                0.74197,                0.76034,                0.68989,                 1.0903,             0.00059877,             0.00059877,             0.00059877
                     34,                0.60379,                0.46683,                0.90791,                0.84401,                0.84469,                0.89239,                0.75497,                0.72282,                0.72078,                 1.0709,             0.00059656,             0.00059656,             0.00059656
                     35,                 0.6036,                  0.468,                0.91274,                0.85136,                0.82342,                0.88832,                0.74798,                0.73559,                0.72719,                 1.0964,             0.00059436,             0.00059436,             0.00059436
                     36,                0.61213,                 0.4733,                0.91877,                0.84214,                0.81006,                0.87328,                0.73024,                0.74489,                0.72536,                 1.1106,             0.00059216,             0.00059216,             0.00059216
                     37,                0.62163,                0.47979,                0.92215,                0.83897,                0.82892,                0.87125,                0.73235,                 0.7592,                0.72408,                 1.1175,             0.00058996,             0.00058996,             0.00058996
                     38,                0.59621,                0.45615,                0.91218,                0.79189,                0.80233,                0.85837,                0.72061,                0.75291,                0.83011,                 1.0953,             0.00058776,             0.00058776,             0.00058776
                     39,                0.58114,                0.44796,                0.90118,                0.80807,                0.80664,                0.84048,                0.71217,                0.75226,                0.80537,                 1.1207,             0.00058556,             0.00058556,             0.00058556
                     40,                0.58633,                0.44654,                0.90568,                0.84773,                 0.7999,                 0.8872,                0.75169,                0.71549,                0.71127,                 1.0894,             0.00058336,             0.00058336,             0.00058336
                     41,                 0.5768,                0.44988,                0.90382,                0.87318,                0.82574,                0.89191,                0.73559,                0.73783,                0.68919,                 1.0963,             0.00058116,             0.00058116,             0.00058116
                     42,                0.58785,                0.45144,                0.90254,                0.90172,                0.83709,                0.88358,                0.75068,                0.71144,                0.70547,                 1.0865,             0.00057896,             0.00057896,             0.00057896
                     43,                0.58626,                 0.4381,                0.90366,                0.86216,                0.78537,                0.84741,                0.70349,                0.76017,                0.76151,                 1.1215,             0.00057675,             0.00057675,             0.00057675
                     44,                0.56108,                 0.4249,                0.89918,                0.86107,                0.82808,                0.88325,                0.73251,                0.73266,                0.69585,                  1.098,             0.00057455,             0.00057455,             0.00057455
                     45,                0.56062,                0.43196,                0.89759,                0.86292,                0.85339,                0.88899,                0.74321,                0.71042,                0.66331,                 1.0816,             0.00057235,             0.00057235,             0.00057235
                     46,                0.57398,                0.43647,                0.89856,                0.88785,                0.85105,                0.89414,                 0.7561,                0.71168,                0.66508,                 1.0756,             0.00057015,             0.00057015,             0.00057015
                     47,                0.57488,                0.43675,                0.90015,                0.87415,                0.83532,                  0.889,                0.75737,                0.68767,                0.68353,                 1.0547,             0.00056795,             0.00056795,             0.00056795
                     48,                 0.5684,                0.42774,                0.90527,                0.86043,                0.85259,                0.89992,                0.76537,                 0.6927,                0.64316,                 1.0552,             0.00056575,             0.00056575,             0.00056575
                     49,                0.57582,                0.43291,                0.90152,                0.85567,                0.83833,                0.89238,                0.75336,                0.68368,                0.66703,                 1.0567,             0.00056355,             0.00056355,             0.00056355
                     50,                 0.5601,                0.42005,                0.89644,                0.86518,                0.84707,                0.90898,                0.76512,                0.69249,                 0.6172,                 1.0758,             0.00056135,             0.00056135,             0.00056135
                     51,                0.56382,                0.41695,                0.89915,                0.89379,                0.83357,                0.90482,                0.75987,                0.72029,                 0.6135,                 1.0814,             0.00055915,             0.00055915,             0.00055915
                     52,                0.54369,                0.41034,                0.88288,                0.88989,                0.83499,                 0.8947,                0.74713,                0.71317,                0.69361,                 1.0616,             0.00055694,             0.00055694,             0.00055694
                     53,                0.55124,                0.41885,                0.89418,                0.87718,                 0.8017,                0.87675,                0.73348,                0.72414,                0.73244,                 1.0685,             0.00055474,             0.00055474,             0.00055474
                     54,                 0.5593,                 0.4172,                0.89141,                0.86417,                0.79198,                0.86911,                 0.7293,                 0.7217,                0.73768,                 1.0761,             0.00055254,             0.00055254,             0.00055254
                     55,                0.54406,                0.40882,                0.88839,                0.86174,                0.83228,                0.89628,                0.75254,                0.70195,                0.66644,                 1.0717,             0.00055034,             0.00055034,             0.00055034
                     56,                0.52481,                0.39265,                0.89014,                0.86213,                0.85447,                0.89299,                0.75301,                0.68786,                0.64205,                 1.0562,             0.00054814,             0.00054814,             0.00054814
                     57,                0.54091,                0.40445,                0.88886,                 0.8707,                0.85133,                 0.9026,                0.77247,                0.70396,                0.63916,                 1.0747,             0.00054594,             0.00054594,             0.00054594
                     58,                0.54089,                0.40719,                0.88498,                0.93672,                0.82002,                 0.9005,                0.77458,                0.66949,                0.66288,                  1.033,             0.00054374,             0.00054374,             0.00054374
                     59,                0.54105,                0.40592,                0.88658,                0.89136,                0.83424,                0.89346,                0.75802,                 0.6757,                0.68343,                 1.0426,             0.00054154,             0.00054154,             0.00054154
                     60,                0.52478,                0.39467,                0.88525,                0.89123,                0.83293,                0.89483,                0.75955,                0.68091,                0.61028,                 1.0699,             0.00053934,             0.00053934,             0.00053934
                     61,                0.53326,                0.39126,                0.88661,                0.90269,                0.81394,                0.89693,                 0.7492,                0.71026,                0.66023,                 1.0738,             0.00053714,             0.00053714,             0.00053714
                     62,                0.52732,                0.38657,                0.88151,                 0.8783,                0.84943,                0.88699,                 0.7539,                0.71164,                0.66805,                 1.0885,             0.00053493,             0.00053493,             0.00053493
                     63,                0.53414,                0.38939,                0.87959,                0.92252,                0.84013,                0.90027,                0.77703,                0.69049,                0.63174,                 1.0486,             0.00053273,             0.00053273,             0.00053273
                     64,                0.52499,                 0.3888,                0.88147,                0.90623,                 0.8474,                0.90517,                0.76184,                 0.6939,                0.67225,                 1.0427,             0.00053053,             0.00053053,             0.00053053
                     65,                0.51515,                0.38086,                 0.8759,                 0.8816,                0.81064,                0.88738,                0.75041,                0.69795,                0.72261,                 1.0604,             0.00052833,             0.00052833,             0.00052833
                     66,                0.52312,                0.39007,                0.88422,                0.85681,                0.84796,                0.88807,                 0.7431,                0.72478,                0.69322,                 1.0813,             0.00052613,             0.00052613,             0.00052613
                     67,                0.53175,                0.38727,                0.88039,                0.85093,                0.83225,                0.89283,                0.75778,                0.69816,                0.69618,                 1.0511,             0.00052393,             0.00052393,             0.00052393
                     68,                  0.513,                0.37974,                0.87806,                0.88768,                 0.8375,                0.90294,                0.77656,                0.66201,                0.65819,                  1.049,             0.00052173,             0.00052173,             0.00052173
                     69,                 0.5124,                0.37554,                0.88301,                0.86259,                 0.8754,                0.91026,                0.77778,                0.67971,                0.65144,                 1.0412,             0.00051953,             0.00051953,             0.00051953
                     70,                0.51607,                0.37463,                0.87374,                 0.8336,                0.86018,                0.90347,                0.77789,                0.67625,                0.63661,                  1.052,             0.00051733,             0.00051733,             0.00051733
                     71,                0.51125,                0.37329,                0.87741,                0.88578,                0.86291,                0.90445,                0.75719,                0.68452,                0.60723,                 1.0629,             0.00051512,             0.00051512,             0.00051512
                     72,                0.51938,                0.37133,                 0.8741,                0.84311,                 0.8473,                0.88924,                0.75295,                0.67264,                0.66108,                  1.049,             0.00051292,             0.00051292,             0.00051292
                     73,                0.50602,                0.36667,                0.87523,                0.88418,                0.82869,                0.88242,                0.76485,                0.67517,                0.71744,                 1.0729,             0.00051072,             0.00051072,             0.00051072
                     74,                0.52343,                0.38193,                0.88501,                0.85657,                0.83929,                0.87733,                0.76785,                0.67898,                0.69612,                 1.0541,             0.00050852,             0.00050852,             0.00050852
                     75,                0.51116,                0.37846,                0.88144,                0.85931,                 0.8517,                0.88953,                0.76022,                0.67718,                0.65491,                 1.0698,             0.00050632,             0.00050632,             0.00050632
                     76,                0.50682,                0.37099,                0.87316,                0.87944,                0.85046,                0.90451,                0.77781,                0.66246,                0.61294,                 1.0619,             0.00050412,             0.00050412,             0.00050412
                     77,                0.49741,                0.36653,                 0.8719,                0.89508,                0.80248,                 0.8938,                0.75972,                0.67968,                0.61676,                 1.0587,             0.00050192,             0.00050192,             0.00050192
                     78,                  0.504,                 0.3702,                0.88157,                0.87854,                0.81984,                0.89147,                0.75634,                0.68916,                0.63451,                 1.0764,             0.00049972,             0.00049972,             0.00049972
                     79,                0.49724,                0.36821,                0.87631,                0.88208,                0.82992,                0.89391,                0.76825,                0.64699,                0.65191,                   1.02,             0.00049752,             0.00049752,             0.00049752
                     80,                0.50475,                0.36792,                 0.8676,                0.87663,                0.80182,                0.88543,                0.76009,                   0.68,                0.71534,                 1.0566,             0.00049531,             0.00049531,             0.00049531
                     81,                0.48823,                0.36365,                0.87446,                0.81673,                0.86887,                0.89026,                0.75946,                 0.6884,                0.68203,                 1.0487,             0.00049311,             0.00049311,             0.00049311
                     82,                  0.496,                0.36364,                0.87151,                0.84616,                 0.8242,                0.88768,                0.76327,                 0.6829,                0.66385,                 1.0404,             0.00049091,             0.00049091,             0.00049091
                     83,                0.49894,                0.36256,                  0.874,                0.89153,                0.84395,                0.89706,                0.76848,                0.66969,                0.62712,                 1.0569,             0.00048871,             0.00048871,             0.00048871
                     84,                0.50299,                0.36021,                0.86755,                0.95519,                0.83192,                0.90991,                0.78131,                0.66868,                0.63083,                 1.0535,             0.00048651,             0.00048651,             0.00048651
                     85,                0.48649,                0.35303,                0.86722,                0.93774,                0.82524,                0.91129,                0.78135,                0.66078,                0.63923,                  1.053,             0.00048431,             0.00048431,             0.00048431
                     86,                0.50216,                0.35463,                0.87341,                0.92025,                 0.8282,                0.91107,                0.77396,                0.66587,                0.61527,                 1.0477,             0.00048211,             0.00048211,             0.00048211
                     87,                0.49261,                0.36282,                0.86977,                0.84812,                0.85764,                0.89022,                0.77186,                0.66459,                0.63286,                  1.045,             0.00047991,             0.00047991,             0.00047991
                     88,                0.49244,                0.35376,                0.86947,                0.84038,                 0.8644,                0.89469,                0.78754,                0.65892,                0.62485,                 1.0403,             0.00047771,             0.00047771,             0.00047771
                     89,                 0.4799,                0.35456,                0.86211,                0.89445,                  0.813,                0.89857,                0.78148,                  0.669,                0.61769,                 1.0628,              0.0004755,              0.0004755,              0.0004755
                     90,                0.48049,                0.34827,                0.86371,                0.90093,                0.85245,                0.90989,                0.78653,                0.68491,                0.59573,                 1.0733,              0.0004733,              0.0004733,              0.0004733
                     91,                0.48011,                0.34699,                0.86453,                0.85554,                0.86595,                0.91132,                0.79051,                0.66159,                0.55884,                 1.0471,              0.0004711,              0.0004711,              0.0004711
                     92,                0.47136,                0.34227,                0.85966,                 0.9053,                0.82532,                0.90857,                0.77881,                0.71041,                0.55796,                 1.0914,              0.0004689,              0.0004689,              0.0004689
                     93,                0.48185,                0.34071,                0.86254,                0.84973,                 0.8894,                0.90811,                0.78424,                0.69109,                0.57059,                 1.0715,              0.0004667,              0.0004667,              0.0004667
                     94,                0.46768,                0.34104,                0.85796,                0.86183,                0.86115,                0.90069,                0.77428,                0.70352,                0.62635,                  1.081,              0.0004645,              0.0004645,              0.0004645
                     95,                0.46573,                0.33394,                0.86083,                0.91223,                0.83044,                0.90579,                0.76086,                0.73168,                0.59973,                 1.1188,              0.0004623,              0.0004623,              0.0004623
                     96,                0.45747,                0.32451,                0.86393,                0.89329,                0.84321,                0.89505,                0.75389,                0.70844,                0.64406,                 1.1063,              0.0004601,              0.0004601,              0.0004601
                     97,                0.46565,                0.33788,                0.86408,                0.90743,                0.86055,                0.90403,                0.77087,                0.68076,                0.63688,                 1.0906,              0.0004579,              0.0004579,              0.0004579
                     98,                0.47814,                0.34237,                0.86203,                0.90539,                0.85657,                0.90927,                0.77435,                0.67509,                0.59548,                 1.0604,             0.00045569,             0.00045569,             0.00045569
                     99,                0.46089,                0.32706,                0.85388,                0.88534,                0.88008,                0.91815,                0.79582,                0.66093,                0.58987,                 1.0447,             0.00045349,             0.00045349,             0.00045349
                    100,                0.46489,                0.33299,                0.86138,                0.89304,                0.86802,                0.91362,                0.78382,                0.68019,                0.59753,                 1.0639,             0.00045129,             0.00045129,             0.00045129
                    101,                0.46924,                0.33509,                0.86159,                0.90791,                0.86636,                 0.9209,                0.78615,                0.67809,                 0.5937,                 1.0535,             0.00044909,             0.00044909,             0.00044909
                    102,                0.46852,                0.33397,                0.85737,                0.89252,                0.86442,                0.91897,                0.78152,                0.70044,                 0.6166,                  1.072,             0.00044689,             0.00044689,             0.00044689
                    103,                0.46196,                0.32789,                0.86007,                0.89792,                0.86334,                0.91785,                 0.7885,                0.68008,                0.56933,                 1.0511,             0.00044469,             0.00044469,             0.00044469
                    104,                 0.4704,                0.33534,                0.85991,                0.89649,                0.86438,                0.91547,                0.78965,                0.65498,                0.57514,                 1.0415,             0.00044249,             0.00044249,             0.00044249
                    105,                0.45095,                0.32485,                0.85805,                0.87096,                 0.8624,                0.90795,                0.78265,                0.64533,                0.59913,                 1.0294,             0.00044029,             0.00044029,             0.00044029
                    106,                0.45011,                0.32526,                0.85175,                0.88004,                0.88159,                0.91515,                0.78805,                0.64657,                0.54999,                 1.0437,             0.00043809,             0.00043809,             0.00043809
                    107,                 0.4484,                0.32392,                0.85438,                0.89608,                0.85051,                0.90648,                0.77909,                0.63723,                0.60186,                 1.0228,             0.00043588,             0.00043588,             0.00043588
                    108,                0.46594,                0.33553,                0.85802,                0.87195,                0.83689,                0.89859,                0.77736,                0.66136,                0.65807,                 1.0561,             0.00043368,             0.00043368,             0.00043368
                    109,                0.45656,                0.33183,                 0.8584,                0.86453,                0.81958,                0.89031,                0.76893,                0.66097,                0.67945,                 1.0442,             0.00043148,             0.00043148,             0.00043148
                    110,                0.46057,                0.32912,                0.85952,                0.88482,                0.83162,                0.89807,                0.78052,                0.66897,                0.62393,                 1.0398,             0.00042928,             0.00042928,             0.00042928
                    111,                0.44738,                0.31907,                0.85654,                0.93086,                0.83856,                0.90085,                0.77914,                0.66325,                0.58729,                  1.054,             0.00042708,             0.00042708,             0.00042708
                    112,                0.45264,                0.32632,                0.85983,                0.93239,                 0.8227,                0.89548,                0.78042,                0.65764,                0.60451,                  1.056,             0.00042488,             0.00042488,             0.00042488
                    113,                0.45214,                0.32794,                0.86224,                0.91939,                0.84034,                 0.9086,                0.78338,                0.67126,                0.61681,                  1.062,             0.00042268,             0.00042268,             0.00042268
                    114,                 0.4486,                 0.3228,                0.85939,                0.88342,                0.86701,                0.90299,                0.78246,                 0.6609,                0.58505,                 1.0631,             0.00042048,             0.00042048,             0.00042048
                    115,                0.45726,                0.32575,                0.86057,                0.91233,                0.87474,                0.91124,                0.78874,                0.66163,                0.57094,                 1.0646,             0.00041828,             0.00041828,             0.00041828
                    116,                0.45288,                 0.3179,                  0.858,                0.88587,                0.88961,                0.92282,                 0.7924,                0.66551,                0.56718,                 1.0594,             0.00041607,             0.00041607,             0.00041607
                    117,                0.44535,                0.31923,                0.85559,                0.88968,                0.86267,                0.92058,                0.79601,                0.65124,                0.56892,                 1.0637,             0.00041387,             0.00041387,             0.00041387
                    118,                0.43273,                0.31134,                0.85147,                0.90425,                 0.8667,                0.92097,                0.79849,                 0.6573,                0.58213,                 1.0628,             0.00041167,             0.00041167,             0.00041167
                    119,                 0.4492,                0.32284,                0.85504,                0.89834,                0.88024,                0.91602,                0.78803,                 0.6434,                0.59737,                 1.0495,             0.00040947,             0.00040947,             0.00040947
                    120,                0.44445,                0.32021,                0.85647,                0.93193,                0.85152,                0.91601,                0.78049,                0.64688,                0.58932,                 1.0655,             0.00040727,             0.00040727,             0.00040727
                    121,                0.45039,                0.32053,                0.85753,                0.89797,                0.85566,                0.90523,                0.77248,                0.65054,                0.62026,                 1.0356,             0.00040507,             0.00040507,             0.00040507
                    122,                0.43562,                0.31479,                0.85492,                0.87931,                0.84767,                0.89329,                0.76858,                0.65248,                0.65373,                 1.0499,             0.00040287,             0.00040287,             0.00040287
                    123,                0.44213,                0.31937,                0.85145,                0.88989,                0.84055,                0.90228,                0.77708,                0.67464,                0.62791,                 1.0685,             0.00040067,             0.00040067,             0.00040067
